title,subtitle,
Inter pede R$ 90 milhões e torcida do Flamengo faz campanha,"<p class=""text"">
	A maior indefinição do <strong>Flamengo </strong>para 2020 atende por <strong>Gabriel Barbosa</strong>. E, neste sábado, o jornal Gazzetta dello Sport atualizou o cenário do lado italiano: a Inter de Milão pede, no mínimo, 20 milhões de euros (cerca de R$ 90 milhões) para negociá-lo em definitivo com o clube carioca.<br>
<br>
	Já com a operação financeira finalizada, a proposta do Flamengo, de acordo com a apuração do <b>LANCE!</b>, é de 16 milhões de euros (aproximadamente R$ 72 milhões). Ou seja: o negócio ainda terá mais capítulos e só tende a ser concluído, independente do desfecho, nos primeiros dias de janeiro.<br>
<br>
	Em Doha, durante a disputa do Mundial de Clubes, ocorreu a mais recente reunião entre as partes. Mas o desejo de Gabigol, ainda não externado, pode pesar e, inclusive, tornar a Inter mais flexível quanto à pedida pelo camisa 9, que está emprestado somente até o fim deste mês.<br>
<br>
<b>CAMPANHA NO TWITTER</b><br>
<br>
	Agitada com novas informações a respeito do goleador do Campeonato Brasileiro e da Libertadores, a torcida do Flamengo promoveu novamente a campanha #FicaGabigol no Twitter. Até o fim da tarde deste sábado, a hashtag estava entre os cinco assuntos mais comentados do Brasil.<br>
<br>
	A ver se o apelo dos torcedores, que já entoam o pedido pelo ""fico"" nas arquibancadas desde a reta final da temporada, surtirá efeito.<br>
<br>
	Confira tuítes da campanha:
</p>",
Mais 2 vítimas da barragem em Brumadinho são identificadas,"<p class=""text"">
	RIO - A Polícia Civil informou neste sábado, 28, que identificou mais duas vítimas do rompimento da barragem da Vale na região de <strong>Brumadinho</strong>, em <strong>Minas Gerais</strong>. O total de mortos na tragédia subiu para 259. Outras 11 pessoas continuam desaparecidas em decorrência do colapso da barragem da mina do Córrego do Feijão, em 25 de janeiro deste ano.
</p>",
Gloria Perez posta vídeo de Daniella e relembra assassinato,"<p class=""text"">
	Gloria Perez usou as redes sociais neste sábado, 28, para lembrar do assassinato da filha, Daniella Perez, há 27 anos.
</p>",
"""Bolsonaro não terminará o mandato"", aposta Ciro Gomes","<p class=""text"">
	Em entrevista à <em>DW</em>, <strong>Ciro Gomes</strong> afirma que <strong>Bolsonaro </strong>lidera uma ""equipe de idiotas"" e que não conseguirá terminar o mandato. Para ele, Congresso vem tendo papel importante de contenção perante presidente ""irresponsável"".
</p>",
Papa pede que famílias evitem usar celular durante refeições,"<p class=""text"">
	O <strong>papa Francisco</strong> chamou à atenção das famílias que utilizam celulares durante as refeições e, neste domingo (29), fez um apelo para que as pessoas conversem mais umas com as outras. No tradicional Ângelus, na praça São Pedro, no Vaticano, o Pontífice citou Jesus, Maria e José como um exemplo que todas as famílias devem seguir, porque eles ""rezavam, trabalhavam e se comunicavam entre si"".
</p>",
Impossível viver o 28 de dezembro sem lembrar Daniella Perez,"<p class=""text"">
	Em 28 de dezembro de 1992, o Brasil parou diante da TV para acompanhar a cobertura do assassinato de <strong>Daniella Perez</strong>. A atriz, então com 22 anos, era destaque na novela das 21h da Globo <em>De Corpo e Alma</em>, escrita por sua mãe, <strong>Gloria Perez</strong>. A personagem Yasmin exalava carisma e inspirou milhões de brasileiros a batizar sua filha com o mesmo nome de origem persa.
</p>",
"""Bloquear fake news com a Justiça é fantasia"", diz Barroso","<p class=""text"">
	O vice-presidente do Tribunal Superior Eleitoral (TSE), ministro <strong>Luís Roberto Barroso</strong>, disse ao <em>Estado </em>que há risco de imposição de censura quando se tenta combater a disseminação das chamadas ""fake news"" com medidas judiciais. Para ele, não há meios materiais nem recursos humanos que consigam enfrentar o problema ""na velocidade necessária"".
</p>",
Maior informalidade afeta contribuições para a Previdência,"<p class=""text"">
	O elevado nível de informalidade no mercado de trabalho tem impedido melhora mais consistente no poder de compra das famílias brasileiras, além de prejudicar a contribuição dos trabalhadores para a <strong>Previdência Social</strong>. A avaliação é de <strong>Adriana Beringuy</strong>, analista da Coordenação de Trabalho e Rendimento do Instituto Brasileiro de Geografia e Estatística (IBGE).
</p>",
Polícia suspeita que prefeito foi morto em crime encomendado,"<p class=""text"">
	A Polícia Civil trabalha com hipótese de que o asssassinato do prefeito de Ribeirão Bonito, <strong>Francisco José Campaner</strong> (PSDB), de 57 anos, morto a tiros na tarde de quinta, na zona rural do município do interior de São Paulo, foi um crime encomendado.
</p>",
Por que o número de grávidas com HIV não para de crescer no Brasil?,"<p class=""text"">
	Os novos dados sobre a epidemia de HIV no Brasil trouxeram algumas boas notícias — e um dado preocupante.
</p>",
,,
"Contas do governo têm rombo de R$ 16,5 bilhões em novembro","<p class=""text"">
	O caixa do governo central registrou um déficit primário de R$ 16,5 bilhões em novembro, o melhor desempenho para o mês desde 2017, considerada a inflação do período. Em números correntes, o resultado é o pior desde novembro de 2016.
</p>",
Mergulhador tailandês morre mais de um ano após resgate,"<p class=""text"">
	Um mergulhador da força de elite da Marinha da Tailândia que participou do resgate dramático de 12 meninos e seu técnico de futebol em uma caverna inundada do norte do país no ano passado morreu em razão de uma infecção sanguínea que contraiu durante a operação, informou nesta sexta-feira, 27, a Real Marinha Tailandesa.
</p>",
Toffoli pede transferência de metade de Fundo a Estados e DF,"<p class=""text"">
	O presidente do Supremo Tribunal Federal (STF), <strong>Dias Toffoli</strong>, determinou nesta sexta-feira (27) que a União transfira imediatamente aos fundos estaduais e do Distrito Federal 50% dos recursos do Fundo Nacional de Segurança Pública e não realize novos bloqueios dessas verbas até uma decisão final da relatora da causa, <strong>Rosa Weber</strong>, sobre o assunto.
</p>",
Registros de novas armas aumentam 48% com Bolsonaro,"<p class=""text"">
	Os registros para posse de arma de fogo no Brasil aumentaram 48% durante os primeiros 11 meses da presidência de <strong>Jair Bolsonaro</strong>, informou o diário <em>Folha de S.Paulo</em> nesta sexta-feira (27). O volume de novos cadastros passou de 47,6 mil em 2018, para 70,8 mil de janeiro até novembro deste ano, batendo o recorde pelo menos desde 1997, dado mais antigo obtido pelo jornal.
</p>",
MP 914 é alvo de mandado de segurança enviado ao STF,"<p class=""text"">
	BRASÍLIA - Alvo de uma série de questionamentos da comunidade acadêmica, a <strong>Medida Provisória</strong> (MP) 914, publicada nesta semana pelo presidente <strong>Jair Bolsonaro</strong>, agora é alvo de um mandado de segurança junto ao <strong>Supremo Tribunal Federal</strong> (STF).
</p>",
,,
"A surpreendente história do coquetel molotov, arma usada em ataque contra o Porta dos Fundos","<p class=""text"">
	A sede do grupo humorístico Porta dos Fundos foi alvo de ataque na madrugada de terça-feira, 24 de dezembro. O prédio, no Rio de Janeiro, foi alvo de coquetéis molotov e houve princípio de incêndio, mas ninguém se feriu.
</p>",
"Desemprego cai a 11,2% no trimestre e bate mínima desde 2016","<p class=""text"">
	A taxa de desemprego no Brasil caiu a 11,2% no trimestre encerrado em novembro, mostraram dados do Instituto Brasileiro de Geografia e Estatística (IBGE) nesta sexta-feira, menor patamar desde 2016 e ficando abaixo da mediana das estimativas de analistas.
</p>",
,,
,,
Avião com quase 100 cai logo após decolagem no Cazaquistão,"<p class=""text"">
	Um avião de passageiros que transportava quase 100 pessoas caiu perto da cidade de Almaty, no Cazaquistão, nesta sexta-feira, logo após a decolagem e atingiu uma casa, em um acidente que matou 12 pessoas e deixou dezenas de feridos.
</p>",
,,
Bolsonaro poderá nomear 33 reitores em 2020 após nova MP,"<p class=""text"">
	O governo <strong>Jair Bolsonaro</strong> poderá nomear 24 dirigentes de universidades federais e nove de institutos federais de ensino em 2020, segundo o<strong> Ministério da Educação </strong>(MEC). O presidente publicou esta semana medida provisória (MP) com novas regras para a escolha de reitores, o que restringe a autonomia das instituições para organizar seus processos eleitorais. A pasta diz que o objetivo é reduzir a judicialização na nomeação de dirigentes - houve sete ações na Justiça sobre o tema este ano - e tornar o trâmite mais seguro e transparente. Reitores contestaram a medida. 
</p>",
O que se sabe sobre o atentado à sede do Porta dos Fundos,"<p class=""text"">
	A Polícia Civil do Rio de Janeiro disse estar investigando o ataque à produtora do canal <strong>Porta dos Fundos</strong> como vandalismo e tentativa de homicídio. Informou ainda que a possibilidade de o caso ser classificado como ato de terrorismo ainda depende da obtenção de mais informações sobre as razões do atentado.
</p>",
Incêndio atinge prédio comercial no centro de SP,"<p class=""text"">
	Um incêndio atinge na tarde desta quinta-feira, 26, um prédio comercial na Rua General Osório, na região da República, centro de São Paulo. Segundo o Corpo de Bombeiros, o fogo começou por volta das 16h40 no segundo andar do edifício.
</p>",
,,
"BNDES libera R$ 47,8 mi para medicamentos contra o câncer","<p class=""text"">
	O <strong>Banco Nacional de Desenvolvimento Econômico e Social (BNDES)</strong> liberou R$ 47,8 milhões para a indústria farmacêutica EMS construir uma fábrica de medicamentos injetáveis oncológicos em Hortolândia, na região de Campinas, São Paulo. O valor representa 80% do investimento total de R$ 59,8 milhões.
</p>",
,,
Damares quer acabar com visitas íntimas em presídios,"<p class=""text"">
	BRASÍLIA - A ministra da Mulher, da Família e dos Direitos Humanos, Damares Alves, afirma que a meta dos próximos três anos é reformular o processo de ressocialização dos jovens infratores no País e avisa que vai acabar com a possibilidade de visita íntima. ""Mamãe Damares vai mandar bola, livro, arroz e feijão. Camisinha e lubrificante, não"", diz ao <strong>Estado</strong>.
</p>",
"Com 13, Bolsonaro aposta na Mega da Virada: ""2 joguinhos só""","<p class=""text"">
	Após passar cerca de uma hora no Palácio do Planalto, o presidente Jair Bolsonaro resolveu testar a sorte e apostar na <strong>Mega da Virada</strong> na manhã desta quinta-feira, 26. Ele disse que fez ""dois joguinhos só"", mas não quis revelar os valores.
</p>",
"""Não posso sempre dizer não ao Parlamento"", diz Bolsonaro","<p class=""text"">
	O presidente Jair Bolsonaro disse nesta quarta-feira (25) em seu perfil no Facebook que <strong>não pode sempre ""dizer não ao Parlamento""</strong>, pois estaria ""fechando as portas"" para qualquer entendimento. O comentário do presidente foi publicado em uma postagem sobre a sanção, com vetos, do projeto de lei anticrime apresentado pelo <strong>ministro da Justiça e Segurança Pública</strong>, Sérgio Moro.
</p>",
,,
Madonna conta que chorou de dor no palco e cancela show,"<p class=""text"">
	A cantora <strong>Madonna</strong>, de 61 anos, anunciou o cancelamento do último show da sua turnê ""Madame X"" na América do Norte devido a problemas de saúde. O anúncio foi feito por Madonna, em sua conta no Instagram.
</p>",
