title,subtitle,,
"Ancelotti quer ex-comandados James e Benzema no Bayern, afirma jornal","Preparado para substituir Guardiola no clube bávaro, italiano pode buscar reforços no Real Madrid, seu ex-clube, de acordo com o diário ""Sport""",,
"Pronto para jogar pelo Galo, Robinho quer Seleção e Libertadores inédita","Atacante reconhece esforço do clube na sua contratação, promete pedaladas, diz ",,
Comitê de Ética da Fifa suspende Valcke do futebol por 12 anos,Ex-secretário da entidade não pode exercer funções administrativas ou esportivas durante a punição. Câmara de Investigação descobre irregularidades do dirigente,,
Planeta Extremo visita cidade antes de terremoto transformá-la em escombros,"Equipe esteve em Katmandu para visitar um dos cartões postais mais conhecidos da capital, e acompanhou uma das últimas cerimônias do Templo dos Macacos",,
Meia ex-Sunderland que assumiu crime sexual é julgado na Inglaterra,Adam Johnson chega acompanhado da namorada para responder acusações de atividade sexual com uma menina de 15 anos e aliciamento,,
"Bisping encontra Anderson e ironiza doping: ""Consegue uma ereção?""","Ex-campeão dos médios, no entanto, não deixou provocação barata e disse ao inglês como acha que acaba a luta principal do UFC Londres: ""Minha mão na sua cara""",,
"Gatlin se diz pronto para bater Bolt nos Jogos do Rio: ""Eu vou vencer""","Em entrevista a site, americano afirma: ""Eu sou o rival mais forte que ele já teve""",,
"Calouro da NBA, Raulzinho encara ""trote da Hello Kitty"" com bom humor ","Por ser novato, brasileiro armador do Utah Jazz carrega mochila com imagem da personagem e cachorro de pelúcia nos treinos e antes das partidas da equipe",,
Campeã olímpica de vela diz ter tido sintomas de zika em visita ao Rio,"Após competir no Brasil em dezembro, velejadora Marina Alabau, da Espanha, disse que sua médica apontou chance de contágio. No entanto, cita  ''alarde sem sentido''",,
"Pacotão do Flu: gols e bronca de Fred, Cavalieri milagroso e estreia discreta",Empate por 3 a 3 com o Madureira pelo Carioca tem Diego Souza sem grande brilho e ainda erros de Wellington Silva e Gustavo Scarpa na tentativa de marcar gol,,
"Nas edições 2015 e 2016, Vasco lidera ranking de pênaltis a favor no Carioca","Vascaínos têm 11 marcações no período. Fla, Flu e Bota tiveram quatro para cada. Neste estadual, foram três para o Vasco. Rubro-negro teve dois a favor no último jogo",,
"Xavi elogia potencial de Neymar no um contra um: ""Está imparável""","Atualmente no Al Sadd, ídolo comenta boa fase do Barcelona, diz que só Bayern está no mesmo nível e afirma que Dybala e Verratti têm DNA do clube catalão",,
"Líder em assistências, Neymar é o jogador mais ofensivo do Espanhol","Apesar de estar atrás de Suárez, Cristiano Ronaldo e Benzema na artilharia, brasileiro criou 69 chances e participou diretamente de 25 dos 56 gols do Barça na competição",,
"Anderson ""auxiliar"", golaços e bicicleta: a vitória do Inter sobre o Passo Fundo","Mesmo em casa, Colorado teve dificuldades para vencer o lanterna do Gauchão; Artur e Rennan Oliveira marcaram belos gols em jogo de situações inusitadas no Beira-Rio",,
"Instalação da grama atrasa, e jogo do Atlético-PR contra o Criciúma é adiado",Jogo da Primeira Liga não será mais no próximo dia 18, nova data será divulgada em breve. Atlético-PR está trocando a grama natural pela sintética na Arena da Baixada,
"Mourinho pretende levar jogadores do Real para o United, diz jornal espanhol","Técnico português quer contratar Bale, Modric e Varane se assumir o Manchester",,
Martine e Kahena sobem para quinto lugar após segundo dia do Mundial,"Atuais vice-campeãs, brasileiras chegam a liderar disputa na Flórida, mas fecham a quinta-feira fora da zona de pódio",,
"Com lesão no quadril, Splitter corre o risco de ficar fora dos Jogos Olímpicos","De acordo com o ""The Atlanta Journal-Constitution"", pivô brasileiro, que não joga desde a derrota para o Heat, no dia 31 de janeiro, pode precisar passar por cirurgia ",,
"Análise: Guilherme não funciona como Renato Augusto, e Corinthians sofre","Meia-atacante faz o gol da vitória sobre o Capivariano, mas deixa a desejar atuando na posição que foi do último craque do Brasileirão. Tite procura nova cara do Timão",,
Cachorro invade jogo no Carioca e paralisa partida quatro vezes, veja,"No duelo entre Cabofriense e Bonsucesso nesta quinta-feira, em Bacaxá, cão deu trabalho para ser retirado de campo e gerou gargalhadas no Estádio Elcyr Resende",
"Eduardo reclama de erros e admite pressão: ""Os resultados não são bons""","Mesmo com um homem a mais desde os 39 minutos do primeiro tempo, Flu empata com Madureira. Técnico cita falta de concentração e alega que time está em formação",,
"No embalo de Bale, jornal lista seis contratações que fracassaram no Real","Kaká, Lucas Silva e Danilo estão presentes entre as aquisições mais decepcionantes  na gestão do atual presidente do clube, Florentino Pérez",,
Santos aciona TI e suspeita de hacker em sumiço de Robinho do site oficial,"Atacante, que acertou com o Atlético-MG nesta quinta-feira, tinha saído da galeria de ídolos do Peixe. O clube garante que não sabe quem foi o responsável",,
Santos lamenta pichação e promete refazer homenagem a Robinho no CT,"Em nota, Peixe chama atacante, que acertou com o Atlético-MG, de ""ídolo"". Vândalos picharam imagens do jogador no muro do CT Rei Pelé nesta sexta-feira",,
"Lucas Lima pede que torcida não condene Robinho: ""Fácil julgar de fora""","Surpreso com notícia do fim das negociações, meia diz que é preciso analisar os dois lados antes de qualquer crítica e pede para torcedor respeitar história do atacante",,
Técnico Paulo Roberto Santos é internado com arritmia cardíaca,"Treinador do Bentão passou mal antes do treino desta quinta-feira e seu estado é considerado estável, segundo médico do clube. Azulão volta a campo neste domingo",,
Inter reconhece atuação fraca contra ,"Para Paulão, cansaço de início de temporada determinou queda de rendimento do time no segundo tempo na vitória por 2 a 1",,
MP sugere retirar clássico de São Januário, Gepe garante segurança,Documento assinado em 2011 previa restrições. Polícia avaliza clássico no estádio e lembra que Vasco já se adequou. Federação garante realização de jogo no domingo,
"Lucas Silva entra no fim, e Olympique vai às quartas da Copa da França","Em meio a polêmicas, brasileiro entra em campo aos 34 do segundo tempo e participa da vitória do Olympique de Marselha por 2 a 0 sobre o Trélissac.",,
"Que pintura! Russo dá um ""chapéu"" em marcador e faz golaço na Euro","Depois das pinturas do português Ricardinho, Abramov faz gol de placa na semifinal contra a anfitriã Sérvia. Rússia decide o título no sábado contra a Espanha às 18h",,
Henrique Almeida é regularizado e fica livre para estrear pelo Grêmio,Atacante teve seu nome publicado no BID da CBF como jogador do clube gaúcho,,
"Cruz quer dar a Faber chance de disputar título: ""Sou tudo que lhe resta""","Campeão dos galos diz que está pronto para colocar um ponto final na rivalidade com líder do Team Alpha Male: ""Quero pará-lo e mantê-lo fora da divisão depois disso""",,
Aposta de R$ 28 no Leicester City pode render R$ 143 mil para torcedor,"Carpenter Leigh Herbert, de 38 anos, vai lucrar mesmo se desistir agora do palpite",,
Clássico entre Botafogo e Fluminense será no Espírito Santo,"Clubes se acertam, e falta apenas o aval da Ferj para jogo ser confirmado no Estádio Kleber Andrade, em Cariacica",,
Árbitro apita pênalti polêmico e ganha abraço de atacante no Carioca, assista,"Matheus Paraná não se conteve quando Carlos Eduardo Nunes Braga marcou a penalidade a favor do Boavista. Ele não foi punido, e lance sequer foi para a súmula",
"Anunciado pelo Atlético-MG, Robinho some da galeria de ídolos do Santos","Atacante estava entre os ídolos do Peixe no site oficial do clube até esta quinta-feira, quando acertou com clube mineiro. Horas depois, nome voltou à galeria",,
"Fã de Jordan, Bolaños escolhe camisa 23 e vê seu maior desafio no Grêmio","Equatoriano foi apresentado na tarde desta quinta-feira, na Arena, com sócios",,
Médico do COI descarta adiar Olimpíadas por conta do vírus da zika,"Richard Budgett diz que não há nenhuma recomendação para mudar planos de viagens: ""O COI não está sendo complacente""",,
Sede do Flu recebe exposição para contar relação com os Rolling Stones,"Evento ficará aberto para visitação até o fim do mês de março no Salão de Troféus. Em 1984, banda - que fará show no Maracanã - gravou dois clipes nas Laranjeiras",,
"Ambulância atola no campo, e gandula dá forcinha para livrar motorista; vídeo","Antes da bola rolar em jogo Fla-PI do técnico Athirson, unidade de atendimento móvel se complica no estádio Albertão, em Teresina. Partida começa com 5min de atraso",,
"Magic Johnson tenta levar Manning para os Rams: ""Até empresto dinheiro""",Lenda da NBA faz lobby para que vencedor do Super Bowl não se aposente durante encontro no “The Tonight Show”. Astros disputam a tradicional Roleta Russa de Ovos,,
"Bauza minimiza reclamação de Ganso e elogia: ""Jogador com muito talento""","Técnico do São Paulo aposta na qualidade técnica do camisa 10 e afirma não se incomodar com insatisfação de atletas substituídos: ""Gosto que fiquem chateados""",,
"Depois de Robinho, Galo tenta fechar com Clayton, revelação do Figueirense","Destaque do Figueira no ano passado e atual artilheiro do Campeonato Catarinense, atacante pode ser o quinto reforço do Atlético-MG para a temporada",,
"Lugano deve estrear no São Paulo no dia 21, contra o Rio Claro, pelo Paulista","Bauza diz que zagueiro ainda não será relacionado para partidas contra Corinthians e The Strongest, mas previsão de treinos aponta para estreia no Pacaembu",,
Número 104 do mundo ganha ponto com voleio por trás das costas na Itália,Dustin Brown arranca aplausos com reação rápida durante derrota para Aldin Setkic,,
"Sonhando com título da Libertadores, Zé Roberto diz que para no fim do ano","Lateral-esquerdo diz que vai cumprir contrato até dezembro com o Palmeiras e se despedir quando já tiver 42 anos: ""É o título que falta na minha carreira""",,
Vírus da zika: EUA anunciam medidas para informar e preparar seus atletas ,"De acordo com CEO do Comitê Olímpico Americano, especialistas em doenças infecciosas vão atender e responder dúvidas de membros da delegação do país",,
Maycon surpreende Tite e terá estreia antecipada no Corinthians,"Com qualidade técnica e maturidade, jovem de 18 anos ganha pontos com o treinador e será titular diante do Capivariano, nesta quinta-feira, na Arena Corinthians",,
Vacilo no caso Vitinho gera caça às bruxas dentro da base do Corinthians,"Após erro que deixou livre um dos principais destaques do sub-15, Andrés Sanchez pede a cabeça de trio, mas conselheiros barram e tentam tirar diretor geral do cargo",,
"Gareth Bale custa R$ 3,3 milhões por jogo ao Real Madrid, segundo jornal","""As"" faz as contas depois de mais uma lesão do jogador no clube, a 11ª desde a chegada. Galês foi comprado pelo valor de R$ 446 milhões",,
