title,subtitle
"Disposição! No calor do CE, torcida faz fila em sombra de poste para ver jogo","No duelo entre Horizonte e Fortaleza, pela quarta rodada do Cearense, temperatura de 33°C incomoda torcedores, que buscam sombra até em ""fila indiana"""
"Após desabafo, Mo Farah está aliviado por poder voltar aos EUA, diz porta-voz","Restrições de Trump a imigrantes de países de maioria muçulmana geraram críticas do bicampeão olímpico, residente nos EUA, com medo de não poder reencontrar a família"
"Agora sócio, Ronaldo Fenômeno será ""apresentado"" na CNB nesta semana",Ex-atacante visitará gaming house da equipe junto com astro do pôquer André Akkari 
Payet é apresentado no Olympique e diz que não está jogando por dinheiro,"Meia volta a vestir camisa do clube francês, que o comprou por R$ 100 milhões, e prefere não falar sobre processo de saída do West Ham"
Carli está fora do duelo com Colo-Colo;,Zagueiro argentino ainda não se recuperou das dores na panturrilha esquerda e está vetado da partida desta quarta-feira. Bruno Silva treina separado e passa a ser dúvida
"Herdeiro da lateral, Moisés vira alvo de piadas no WhatsApp do Corinthians","Lateral-esquerdo admite que os jogadores do Timão estão pegando no seu pé nos primeiros dias da temporada. Com Arana na Seleção, jogador vai ganhando espaço"
Hearthstone: Brasileiro ganha Copa América de Inverno e leva R$ 12 mil,"Thiago “Coglorin”, da Pain Gaming, derrota argentino na decisão e fica com o título"
"Por ingressos, colombianos vendem balas e dormem na rua em Curitiba","Apaixonados pelo Millonarios, torcedores atravessam o país e tentam de todo jeito arrecadar dinheiro dos ingressos para o jogo contra o Atlético-PR pela Libertadores"
São Paulo melhora proposta por Jucilei e espera fechar com Shandong,"Clube envia nova oferta ao time chinês, com melhores condições, e acredita em final feliz. Acerto com o jogador está feito há 10 dias"
"Assunção desafia Dominick Cruz, que esnoba duelo com brasileiro nos galos","Após vencer Sterling no sábado, n°4 da categoria justifica que luta com ex-campeão"
"Animado após estreia, Diego rasga elogios a reforços do Fla: “Brilhantes”","Meia diz que Trauco e Romulo, que estrearam em jogos oficiais na vitória por "
Santos conta com Cleber e Leandro Donizete para a estreia do Paulista,"Zagueiro e volante já treinam em campo. David Braz, Bruno Henrique e Ricardo Oliveira ainda devem ser desfalques na partida contra o Linense, nesta sexta-feira"
Vasco avança por Gilberto e espera oficializar contratação até quarta,"Negociação com jogador e Fiorentina evolui nesta segunda-feira, e expectativa é de que anúncio seja feito ainda nesta semana. Atleta viria por empréstimo até dezembro"
Jornalista diz que Roma emprestará Gerson ao Lille com opção de compra,"De acordo com Gianluca di Marzio, especialista no mercado de transferências, clube francês pagará R$ 16 milhões para contar com o jogador até o fim da temporada"
"Por mais jogos no ano, Arena da Barra conversa com Fla, Vasco, Flu e Rio","Gestora do local, GL Events busca ""negociações especiais"", diminuição da margem de lucro e logística diferenciada para atrair times de basquete e vôlei em 2017"
