title,subtitle
"Com opções a menos, Flu terá mudanças em lista de inscritos para Sul-Americana"," Atraso em documentação de Luan Peres e últimas negociações podem causar ainda mais baixas; Tricolor fará três mudanças: Digão, Junior Dutra e Everaldo serão inscritos"
Artilheiro da Euro Sub-19 posta foto com Cristiano Ronaldo... de 12 anos atrás,João Filipe marcou cinco gols e foi um dos destaques de Portugal no título da Eurocopa da categoria
Fernanda Garay é convocada para treinos visando o Mundial do Japão,"Ponteira irá se juntar as outras 15 jogadoras que já trabalham no Centro de Desenvolvimento de Voleibol (CDV), em Saquarema, no Rio de Janeiro"
Atlético-PR agiliza documentação e já tem pré-registro com atacante Rony,Jogador não tem mais vínculo com o Albirex Niigata-JAP e aguarda nome ser publicado no BID para ser anunciado como reforço do Furacão. Contrato é de três anos
"Marcelo se despede do Rio antes de se reapresentar ao Real Madrid: ""Até já""",Lateral-esquerdo volta para a Espanha para iniciar pré-temporada no clube
Primeiro capitão: Messi herda a braçadeira de Iniesta na volta ao Barcelona,"Jornal ""Mundo Deportivo"" destaca que craque assumirá o posto ao iniciar a pré-temporada nesta terça"
Derlis González embarca para o Brasil (de novo) para assinar com o Santos,"Pela segunda vez, atacante paraguaio vem ao país para tentar fechar com o Peixe"
"""Sou sua maior admiradora e não se abata com acusações"", pede mãe de Neymar","""As pessoas conhecem o nome Neymar Jr, mas a pessoa em si poucos conhecem"", diz Nadine Gonçalves em postagem"
"De olho na Chape, Corinthians treina com volta de Roger e reforços em campo","Atacante está recuperado de entorse no tornozelo, mas não poderá jogar na quarta-feira"
"Sport se cobra para evitar ""apagões"" no segundo tempo","Depois da parada ocasionada pela Copa do Mundo, o time rubro-negro vem sofrendo com falta de rendimento na etapa final das partidas "
"Revista alemã diz que vídeo de Neymar foi encenado de forma patética: ""Fiel ao estilo""","Diante de críticas, mãe do craque sai em defesa do camisa 10: ""Sou sua maior admiradora e, com todo respeito, não se abata com palavras e acusações daqueles que não tem amor ao próximo"""
"Zagueiro da Roma diz que não vai cumprimentar Malcom: ""Não tem motivo""","Barcelona e Roma se enfrentam nesta terça-feira, no torneio de pré-temporada nos EUA"
"Após pancada, Zeca será reavaliado pelo Inter; Moledo tem chances de pegar o Galo","Lateral é substituído na vitória sobre Bota, enquanto zagueiro se recupera de lesão no joelho "
"Murray aposta em retorno ao alto nível em 2019: ""Mais forte a cada dia""","Britânico acredita que conseguirá ser o ""velho Murray"" na próxima temporada se ficar saudável e recuperar a confiança no fim deste ano"
Corinthians anuncia a contratação do meia Ángelo Araos da Universidad de Chile,"Contratado por cerca de R$ 17,1 milhões, jogador assina com o Timão até o meio de 2023; regularizado na CBF, ele pode jogar a Copa do Brasil"
"Após vaquinha, handebol de areia do Brasil é campeão mundial em Kazan",Time masculino leva o ouro após vitória sobre a Croácia e consegue o bronze no feminino com triunfo sobre a Espanha
