partidas,990
londres,988
twitter,987
henrique,987
maracanã,987
morreu,984
turno,982
felipe,982
votos,981
b,981
instituto,979
ricardo,978
decidiu,978
oito,969
avião,968
dar,967
conselho,967
bahia,966
1º,965
julho,964
inácio,963
bbc,955
perto,953
realizado,948
classificação,948
acidente,944
francês,940
britânico,938
entanto,938
estadual,938
cientistas,936
empresas,936
atletas,931
divulgado,930
entidade,930
venezuela,929
inglaterra,928
votação,924
receber,923
carioca,923
acabou,922
city,920
futuro,919
placar,916
oitavas,915
divulgou,914
parque,913
crianças,912
afirma,911
poder,910
corpo,906
críticas,905
italiano,905
gaúcho,905
medida,903
outubro,901
setembro,901
chile,901
eleição,900
pf,899
papa,899
começou,897
outras,895
cunha,895
diretor,893
anuncia,885
x,883
quartas,880
social,879
mostra,876
americana,876
policiais,874
santa,873
torcedor,871
casos,870
problemas,870
vão,870
atlético,870
voltar,869
impeachment,868
chega,864
internet,863
alvo,862
novembro,860
nota,857
rival,855
vítimas,854
roberto,854
força,853
sport,851
euros,850
área,850
veja,849
joão,849
índice,848
the,847
united,847
aumento,846
corte,845
porque,843
possibilidade,842
agosto,840
contas,840
dá,839
bate,836
violência,834
julgamento,834
tentar,831
venda,830
médicos,829
terceira,828
vila,828
perdeu,827
tudo,825
investigação,825
pai,823
senador,822
morumbi,819
donald,818
coreia,817
especial,816
confirma,815
protestos,815
divulgada,815
lucas,812
informação,812
responsável,811
prêmio,809
sofreu,808
médico,808
méxico,806
grandes,805
econômica,804
forte,803
equipes,799
novos,798
marcou,797
nega,795
semanas,794
entrou,794
empresário,794
chelsea,786
psdb,784
atuação,783
próximos,783
caiu,782
setor,782
evento,781
marcado,777
madrugada,777
gabriel,777
ontem,777
realizada,776
forças,775
goiás,774
homens,773
chegar,773
reforço,772
sérgio,771
federação,771
ida,770
semifinal,770
espera,769
preta,768
saiu,767
crime,765
problema,764
perder,761
levou,760
uso,760
sede,759
próprio,758
feita,758
rebaixamento,757
britânica,756
ganhou,756
qualquer,754
pagar,753
curitiba,750
fevereiro,750
presos,750
confederação,750
vê,748
coritiba,748
colômbia,747
enfrentar,747
posição,744
importante,743
inflação,743
presença,742
terceiro,740
novas,739
poderá,736
taxa,736
times,735
bayern,734
amistoso,734
entrar,733
alexandre,732
militares,732
ct,732
algumas,731
nove,726
haddad,725
psg,725
grupos,723
acusado,722
evitar,722
passada,720
liverpool,720
manter,717
recursos,716
foto,715
francisco,714
mudanças,713
chapecoense,713
carro,712
morto,707
reino,707
chance,706
medidas,705
