Title,Subtitle
a história do alemão enterrado em faculdade de sp que fundou uma poderosa sociedade secreta,"em forma de um pequeno obelisco, o túmulo é um monumento inusitado em um pátio interno da faculdade de direito da universidade de são paulo, no largo são francisco, centro de são paulo. a lápide revela a identidade: júlio frank, como se tornou conhecido no brasil o intelectual alemão johann julius gottfried ludwig frank."
por que o rio grande do norte é o pior lugar para ser jovem no brasil,"há um jovem morto deitado no banco de trás do carro. foi assassinado com três tiros na cabeça. o veículo, um palio roubado horas antes, saiu da pista e invadiu um matagal, como se o motorista tivesse perdido o controle da direção. a rua é de paralelepípedo e mal iluminada. estamos na zona rural de são josé de mipibu, cidade a 31 km de natal. ""esse aí, se tivesse 20 anos, era muito"", diz uma perita. "
como o trigo 'domesticou' a humanidade – e vice-versa,"do pãozinho de cada dia ao macarrão de domingo, o trigo é um dos alimentos mais consumidos no mundo atual. mas o que não paramos para pensar entre um bocado e outro é que esse cereal, em suas variedades contemporâneas, é praticamente artificial. "
os empregos nos quais mentirosos se dão bem,"eu tenho uma confissão: eu minto. muito. eu minto para interromper ou iniciar conversas, para poupar os sentimentos dos outros, ou os meus, e simplificar a vida social ou profissional de milhões de maneiras."
a relação entre eua e irã em 10 capítulos,"faz tempo que estados unidos e irã estão em pé de guerra, mas os dois países nem sempre foram arqui-inimigos. "
como o primeiro acidente aéreo comercial da história levou à pressurização das cabines de voo,"os anúncios publicitários do primeiro voo comercial de costa a costa dos estados unidos, lançado em 1929, propagandeavam um ""tempo curto"" de viagem: 48 horas de nova york a los angeles."
as 11 dicas de harvard para melhorar sua vida sexual,"fazer esportes, subir escadas, dormir e... fazer sexo: nenhuma dessas coisas é igual aos 20 e aos 50 anos de idade."
protestos em hong kong: por que manifestações se intensificaram e como a china pode reagir,a onda de turbulência que abala hong kong entra em sua 11ª semana e não dá sinais de que vá diminuir.
o que acontece em um país sem mulheres no parlamento?," ""não é normal termos índices tão altos de violência contra as mulheres. não é normal que não tenhamos mulheres no processo de tomada de decisão"", diz yasmin bjornum, militante da igualdade de gênero em vanuatu."
pompeia: objetos encontrados nas ruínas poderiam ser 'tesouro oculto' de feiticeira,"arqueólogos descobriram novas relíquias sob as ruínas da cidade de pompeia, destruída pela erupção do vulcão vesúvio em 79 d.c."
