title,subtitle
Murilo Soares ensina a cultivar romã e mostra como cortar a fruta sem desperdícios,"Engenheiro florestal participou do ‘É de Casa’ deste sábado, 28/12, e revelou curiosidades sobre a tradicional fruta do Ano-Novo"
Paloma flagra Marcos na cama com outra mulher,"Nos próximos capítulos de 'Bom Sucesso', costureira será surpreendida ao encontrar namorado acompanhado em Búzios"
Massa com Grão-de-bico Cremoso do Chef Ravioli,"Receita do 'É de Casa' leva bacon, parmesão e linguiça toscana: aprenda o passo a passo"
"Jonathan Azevedo reflete sobre ano de conquistas e aprendizados: 'Se você for muito egocêntrico, não chega longe'","Terceiro colocado no 'Dança dos Famosos', ator fala da relação com a professora Tati Scarletti, da chegada do filho Matheus Gabriel e divide seus planos para o próximo ano"
"Ana Furtado escolhe vestido branco: 'Representa paz, luz, boas vibrações'",O clima do Ano-Novo tomou conta do 'É de Casa'! Apresentadora apostou em um look com decote nas costas e que valoriza a cintura; confira
"Cissa Guimarães aposta em vestido amarelo: 'Cor da prosperidade, da alegria'","No último programa de 2019, apresentadora usa roupa com tom vibrante e sandália dourada "
Lola se humilha para quitar dívida deixada por Júlio,A matriarca precisa tomar uma atitude difícil para aliviar as contas da casa em 'Éramos Seis'
Thelma fura preservativos de Danilo,"Empolgada com o relacionamento do filho com Camila, ela decide que quer ser avó. Confira o que vai rolar no próximo capítulo da novela das 9, 'Amor de Mãe'"
Vitória faz exame de DNA com fio de cabelo de Sandro,"Em 'Amor de Mãe', a advogada está empenhada em encontrar o filho perdido. Confira o que vai acontecer no próximo capítulo da novela das 9!"
Diogo inclui Gisele na sua lista de vingança,"No capítulo de 'Bom Sucesso' deste sábado, 28/12, pilantra leva fora da ex após fazer proposta"
Diogo convida Gisele para participar de vingança contra família de Alberto,"No capítulo de 'Bom Sucesso' deste sábado, 28/12, o novo rico diz que a ex pode se divertir com plano"
"'Salve-se Quem Puder': Alexia, Luna e Kyra viram Josimara, Fiona e Cleyde e terão que se adaptar à vida no campo","Na nova novela das 7, as personagens entram para o Programa de Proteção à Testemunha e vão morar em Judas do Norte, interior de São Paulo, onde conhecem Ermelinda e Zezinho"
Casa da Lurdes é sinônimo de conforto e aconchego,"No podcast Novela das 9, os detalhes desse lar e o depoimento do produtor de arte da novela Amor de Mãe, Moa Batsow; ouça!"
Alice beija Waguinho após vencer prêmio na Prado Monteiro,"No capítulo de 'Bom Sucesso' desta sexta, 27/12, a aspirante a escritora diz que quer ficar junto do rapaz"
Julia Mendes fala sobre looks fitness e a importância do exercício físico na rotina ,@PraVcArrasar antecipa algumas tendências de moda e mostra que bem-estar e saúde são os melhores aliados de beleza 
Lurdes é paquerada por Oliveira,"Babá vai ao restaurante de Thelma e aceita convite do garçom para um passeio. Confira o que vai acontecer no próximo capítulo da novela das 9, 'Amor de Mãe'"
Silvana descobre que está grávida,"No capítulo de 'Bom Sucesso' desta sexta, 27/12, a atriz fica enjoada após dar beijo em Pablo"
Maiara chora e revela que Fernando foi seu maior incentivador para ser apresentadora,"A cantora recebeu o carinho do namorado e da irmã Maraisa no último dia de gravação da temporada do 'SóTocaTop', que marca a despedida das gêmeas no comando do programa"
